学科,年级,学期,知识标签,题型,题目,题目图片,选项A,选项B,选项C,选项D,答案,解析,难度
数学,二年级,下册,两步连推,质量计算,3袋大米，每袋2千克，用去了1500克，还剩多少？,,4千克500克,3千克500克,4千克,5千克500克,A,3袋共6千克，6千克减1500克，还剩4千克500克。,3
数学,二年级,下册,两步连推,两步计算,花园里有7行树苗，每行9棵，又补种了5棵，现在一共有多少棵？,,67,68,69,70,B,7乘9等于63，再加5等于68。,3
数学,二年级,下册,两步连推,长度计算,一根绳子长94厘米，剪下3段，每段26厘米，还剩多少厘米？,,14厘米,18厘米,16厘米,20厘米,C,3段一共78厘米，94减78等于16厘米。,3
数学,二年级,下册,两步连推,两步计算,6盒铅笔，每盒12支，送给同学17支后，还剩多少支？,,54,56,57,55,D,6盒共有72支，72减17等于55。,3
数学,二年级,下册,两步连推,分组计算,45名同学做游戏，每组8人，还剩5人做记录，可以分成几组？,,5组,4组,6组,7组,A,45减5等于40，40除以8等于5组。,3
数学,二年级,下册,两步连推,两步计算,苹果有2箱，每箱18个，梨有3箱，每箱12个，两种水果一共有多少个？,,71,72,73,74,B,苹果36个，梨36个，一共72个。,3
数学,二年级,下册,两步连推,时间计算,小明7:35开始读书，读了45分钟，结束时是几时几分？,,8:10,8:15,8:20,8:25,C,7:35加45分钟等于8:20。,3
数学,二年级,下册,两步连推,两步计算,4篮鸡蛋，每篮16个，卖出19个后，还剩多少个？,,44,46,47,45,D,4篮共有64个，64减19等于45。,3
语文,二年级,下册,两步连推,课文理解,《小马过河》里，小马最后明白了什么？,,遇事要自己试一试,只听老牛的话就行,什么事都不用想,看见困难就回家,A,小马最后是自己试过以后才知道深浅。,3
语文,二年级,下册,两步连推,课文理解,《雷锋叔叔，你在哪里》告诉我们雷锋叔叔常常在哪里？,,在山顶上,在帮助别人的地方,在电视里,在商店里,B,课文告诉我们雷锋精神在帮助别人的行动里。,3
语文,二年级,下册,两步连推,课文理解,《千人糕》想告诉我们什么？,,千人糕只能千人吃,做糕一点也不难,一块糕要经过很多人的劳动,糕是从树上长出来的,C,课文借千人糕让我们明白劳动成果来之不易。,3
语文,二年级,下册,两步连推,顺序理解,做饭时，妈妈先洗菜，再切菜，最后下锅炒。切菜后下一步做什么？,,洗菜,盛饭,摆碗筷,下锅炒,D,按事情顺序，切菜后就下锅炒。,3
语文,二年级,下册,两步连推,通知理解,通知：明天上午8点到校门口集合去劳动基地，请大家带手套和水壶。去劳动基地前要先到哪里集合？,,校门口,操场,图书馆,食堂,A,通知里写着在校门口集合。,3
语文,二年级,下册,两步连推,留言理解,留言：作业本放在书桌左边抽屉里，雨衣挂在门后。想找雨衣应该去哪里？,,抽屉里,门后,窗台上,鞋柜上,B,留言中写着雨衣挂在门后。,3
语文,二年级,下册,两步连推,句意理解,“如果明天下雨，活动改在教室里举行。” 下雨时活动会在哪里举行？,,操场上,图书馆,教室里,校门口,C,句子已经说明下雨时改在教室里举行。,3
语文,二年级,下册,两步连推,修辞理解,“春风一吹，柳枝跳起舞来。” 这句话把柳枝写得像什么？,,像一块石头,像一本书,像一把伞,像会跳舞的人,D,把柳枝写得会跳舞，是拟人的写法。,3
语文,二年级,下册,两步连推,词语运用,下面哪句话正确用了“终于”？,,我们等了很久，终于轮到我们上场了。,苹果终于是红色的。,桌子终于在教室里。,今天终于会写字。,A,“终于”表示经过等待或努力后出现结果。,3
语文,二年级,下册,两步连推,活动顺序,班队会上，大家先分组讨论，再写建议，最后派代表发言。派代表发言前要做什么？,,回家休息,写建议,分糖果,马上下课,B,按顺序，发言前一步是写建议。,3
数学,二年级,下册,稳答提速,乘法速算,8 × 7 = ?,,55,57,56,58,C,8乘7等于56。,3
数学,二年级,下册,稳答提速,除法速算,42 ÷ 6 = ?,,6,8,9,7,D,42除以6等于7。,3
数学,二年级,下册,稳答提速,减法速算,76 - 28 = ?,,48,47,49,50,A,76减28等于48。,3
数学,二年级,下册,稳答提速,加法速算,37 + 29 = ?,,65,66,67,68,B,37加29等于66。,3
数学,二年级,下册,稳答提速,单位换算,1千克等于多少克？,,100克,10000克,1000克,10克,C,1千克等于1000克。,3
数学,二年级,下册,稳答提速,有余数除法,19个球，每6个装一盒，可以装几盒，还剩几个？,,2盒，还剩7个,3盒，还剩2个,4盒，正好装完,3盒，还剩1个,D,19除以6，商3余1。,3
数学,二年级,下册,稳答提速,时间推算,现在是6:40，再过20分钟是几时几分？,,7:00,6:50,7:10,7:20,A,6:40再过20分钟是7:00。,3
数学,二年级,下册,稳答提速,减法速算,95 - 47 = ?,,47,48,49,50,B,95减47等于48。,3
语文,二年级,下册,稳答提速,标点符号,“多漂亮的彩虹啊（ ）” 句末最合适填什么标点？,,句号,问号,感叹号,逗号,C,表示赞叹时，句末常用感叹号。,3
语文,二年级,下册,稳答提速,词语理解,“赶紧收书包”里，哪个词写出了动作很快？,,收,书包,里,赶紧,D,“赶紧”表示马上、很快。,3
语文,二年级,下册,稳答提速,量词搭配,“一（ ）春风”里最合适填哪个量词？,,阵,本,朵,只,A,春风通常用量词“阵”。,3
语文,二年级,下册,稳答提速,顺序理解,“先擦桌子，再摆椅子。” 摆椅子前要先做什么？,,回家,擦桌子,洗手,拖地,B,句子里已经说明先擦桌子。,3
语文,二年级,下册,稳答提速,修辞理解,“太阳像个大火球。” 这句话把什么比作大火球？,,白云,月亮,太阳,小河,C,句子把太阳比作大火球。,3
语文,二年级,下册,稳答提速,传统文化,《传统节日》里，中秋节常吃什么？,,粽子,汤圆,粳米饭,月饼,D,中秋节有吃月饼的习俗。,3
语文,二年级,下册,稳答提速,词语运用,下面哪句话正确用了“忽然”？,,小雨忽然从天上落下来。,铅笔忽然很高兴。,书包忽然在跑步。,桌子忽然在唱歌。,A,“忽然”用来写事情一下子发生。,3
语文,二年级,下册,稳答提速,近义词,“赶紧”的近义词是哪一个？,,缓慢,立刻,终于,安静,B,“赶紧”和“立刻”意思相近。,3
数学,二年级,下册,方法冲线,综合计算,5盒彩贴，每盒18张，送给同学27张后，还剩多少张？,,62,64,63,65,C,5盒共有90张，90减27等于63。,3
数学,二年级,下册,方法冲线,分组计算,68名同学坐船，每条船最多坐9人，至少要几条船？,,7条船,9条船,10条船,8条船,D,68除以9等于7余5，还需要再多1条船。,3
数学,二年级,下册,方法冲线,质量计算,2千克500克苹果，又买了800克，现在一共有多少？,,3千克300克,2千克800克,3千克,4千克300克,A,2500克加800克等于3300克，也就是3千克300克。,3
数学,二年级,下册,方法冲线,长度计算,一根84厘米的绳子，做了4个边长18厘米的正方形后，还剩多少厘米？,,10厘米,12厘米,14厘米,16厘米,B,4个边共用72厘米，84减72等于12厘米。,3
数学,二年级,下册,方法冲线,综合计算,花园里有7行树，每行12棵，又补种了9棵，现在一共有多少棵？,,92,94,93,95,C,7乘12等于84，再加9等于93。,3
数学,二年级,下册,方法冲线,有余数除法,96颗糖平均分给9个小朋友，每人分到几颗，还剩几颗？,,每人9颗，还剩15颗,每人10颗，还剩5颗,每人11颗，还剩7颗,每人10颗，还剩6颗,D,96除以9，商10余6。,3
数学,二年级,下册,方法冲线,时间推算,8:15开始做题，55分钟后结束，结束时是几时几分？,,9:10,9:00,9:05,9:15,A,8:15加55分钟等于9:10。,3
数学,二年级,下册,方法冲线,综合计算,5篮鸡蛋，每篮14个，卖出18个后，还剩多少个？,,51,52,53,54,B,5篮共有70个，70减18等于52。,3
数学,二年级,下册,方法冲线,综合计算,三层书架上分别放着28本、32本、26本书，一共有多少本？,,85,87,86,88,C,28加32再加26等于86。,3
数学,二年级,下册,方法冲线,质量计算,一桶油重5千克，用去1800克后，还剩多少？,,2千克200克,3千克800克,4千克200克,3千克200克,D,5000克减1800克等于3200克，也就是3千克200克。,3
语文,二年级,下册,方法冲线,课文理解,《蜘蛛开店》里，蜘蛛最后为什么匆忙跑回网上？,,蜈蚣的脚太多了,顾客全都走了,门坏了,忘记带钱包了,A,因为蜈蚣脚太多，织袜子太麻烦了。,3
语文,二年级,下册,方法冲线,课文理解,《青蛙卖泥塘》最后为什么不卖泥塘了？,,没人来买,泥塘变成了好地方,青蛙搬家了,天一直下雨,B,泥塘经过改造后变得很好，青蛙舍不得卖了。,3
语文,二年级,下册,方法冲线,课文理解,《小毛虫》最后变成了什么？,,蜻蜓,小鸟,蝴蝶,蜜蜂,C,小毛虫经历变化，最后变成了蝴蝶。,3
语文,二年级,下册,方法冲线,通知理解,通知：运动会入场式8点开始，请各班7点45分前在操场北侧排好队。最晚什么时候要排好队？,,8点整,7点30分,8点15分,7点45分前,D,通知里写明7点45分前排好队。,3
语文,二年级,下册,方法冲线,顺序理解,“回家后，我先洗手，再写作业，最后去看书。” 看书前要做什么？,,洗手和写作业,只洗手,只写作业,先吃晚饭,A,按顺序，看书前先洗手，再写作业。,3
语文,二年级,下册,方法冲线,句意理解,“风把花香送得很远。” 这句话主要写花香怎样？,,很苦,飘得很远,很安静,很短,B,句子是在写花香飘散得很远。,3
语文,二年级,下册,方法冲线,修辞理解,“月亮像弯弯的小船。” 这句话把什么比作小船？,,星星,白云,月亮,湖水,C,句子里把月亮比作小船。,3
语文,二年级,下册,方法冲线,留言理解,留言：雨衣在门后，水彩笔在第二层抽屉，故事书在枕头边。想找故事书应该去哪里？,,门后,第二层抽屉,阳台上,枕头边,D,留言里写着故事书在枕头边。,3
语文,二年级,下册,方法冲线,标点符号,“你明天去植树吗（ ）” 句末最合适填什么标点？,,问号,句号,感叹号,逗号,A,表示提问时，句末常用问号。,3
语文,二年级,下册,方法冲线,词语理解,“恋恋不舍”最适合形容下面哪种心情？,,非常生气,舍不得离开,一点都不怕,特别着急,B,“恋恋不舍”表示留恋，不愿分开。,3
数学,三年级,上册,读题转弯,应用判断,一本故事书有36页，小明每天看9页，几天能看完？,,4,3,5,6,A,36÷9=4，需要4天看完。,1
数学,三年级,上册,读题转弯,平均分,24块饼干平均分给6个同学，每人分到几块？,,3,4,5,6,B,24平均分成6份，每份是4。,1
数学,三年级,上册,读题转弯,路程计算,操场一圈400米，小军跑了2圈，一共跑了多少米？,,799,801,800,802,C,400×2=800米。,1
语文,三年级,上册,读题转弯,修辞理解,“荷叶圆圆的，像一个个碧绿的大圆盘。” 这句话把荷叶比作什么？,,小雨伞,小船,星星,大圆盘,D,句子里把荷叶比作碧绿的大圆盘。,1
语文,三年级,上册,读题转弯,近义词,在“忽然下起了大雨”里，“忽然”更接近哪个词？,,突然,经常,缓慢,安静,A,“忽然”和“突然”意思相近。,1
语文,三年级,上册,读题转弯,句意理解,“今天的风真凉快！” 这句话更像是在表达什么？,,提问,赞叹,命令,批评,B,句末用了感叹语气，表达的是赞叹。,1
数学,三年级,上册,信息拆分,信息提取,做风车用了15张红纸、9张黄纸和6张蓝纸，一共用了多少张纸？,,29,31,30,32,C,把三种颜色的纸加起来，15+9+6=30。,1
数学,三年级,上册,信息拆分,信息提取,一辆车上午运来28箱苹果，下午又运来17箱，一共运来多少箱？,,44,46,47,45,D,28加17等于45。,1
数学,三年级,上册,信息拆分,平均分,48名同学坐船，每条船坐8人，正好坐满需要几条船？,,6,5,7,8,A,48÷8=6条船。,1
数学,三年级,上册,信息拆分,乘法应用,一根绳子剪成8段，每段长5米，这根绳子原来长多少米？,,39,40,41,42,B,8段每段5米，用8×5=40米。,1
数学,三年级,上册,信息拆分,信息提取,果园里有6行梨树，每行7棵，又种了5棵，现在一共有多少棵？,,46,48,47,49,C,先算6×7=42，再加5，得到47。,1
语文,三年级,上册,信息拆分,通知理解,通知：周五下午3点在报告厅举行故事比赛，参赛同学2点50分前入场。比赛地点在哪里？,,操场,图书馆,教室,报告厅,D,通知里明确写着比赛地点是报告厅。,1
语文,三年级,上册,信息拆分,留言理解,留言：请先把作业本交到办公室第一张桌子上，再去操场集合。第一步要做什么？,,把作业本交到办公室,去操场集合,回教室坐好,去食堂排队,A,留言中“先”后面的内容就是第一步。,1
语文,三年级,上册,信息拆分,顺序理解,小明先查资料，再写提纲，最后完成手抄报。完成手抄报前一步是什么？,,查资料,写提纲,贴照片,去打印,B,按顺序看，最后一步前面是写提纲。,1
语文,三年级,上册,信息拆分,信息判断,公告牌写着：图书馆每周二闭馆，周三到周日开放。星期二能不能借书？,,可以借书,只能借一本,不能借书,只在上午能借,C,因为周二闭馆，所以不能借书。,1
语文,三年级,上册,信息拆分,句意提取,“春雨把小草叫醒了，也把花儿染红了。” 这句话写了春雨做了哪两件事？,,吹走白云，叫来燕子,浇湿屋顶，吹落叶子,赶跑乌云，带来雷声,叫醒小草，染红花儿,D,句子里直接写了春雨做的两件事。,1
数学,三年级,上册,估算判断,估算判断,198最接近下面哪个整百数？,,200,100,300,400,A,198离200最近。,2
数学,三年级,上册,估算判断,估算判断,302 + 97 的和大约是多少？,,300,400,500,600,B,302约是300，97约是100，所以和大约是400。,2
数学,三年级,上册,估算判断,估算判断,一袋大米重49千克，估一估，约重多少千克？,,40千克,60千克,50千克,90千克,C,49千克约等于50千克。,2
数学,三年级,上册,估算判断,估算判断,买文具大约要198元，准备多少钱更合适？,,100元,150元,300元,200元,D,198元接近200元，准备200元更合适。,2
数学,三年级,上册,估算判断,估算判断,学校准备了403瓶水，平均分给8个班，每班大约分多少瓶？,,50瓶,5瓶,40瓶,80瓶,A,403约是400，400÷8≈50。,2
语文,三年级,上册,估算判断,词义判断,“教室里顿时安静下来”里的“顿时”最接近哪个词？,,一直,立刻,偶尔,缓缓,B,“顿时”表示很快、一下子。,2
语文,三年级,上册,估算判断,句意判断,“天空像洗过一样蓝”主要想说明什么？,,天空快下雨了,天空里有很多鸟,天空特别蓝很干净,天空变黑了,C,这句话重点写天空蓝而且清亮。,2
语文,三年级,上册,估算判断,成语理解,“他把这本书看得津津有味”更能说明他怎样？,,走路很快,天气很热,声音很大,很爱看这本书,D,“津津有味”表示很有兴趣。,2
语文,三年级,上册,估算判断,判断句意,下面哪句话更像是在提醒大家爱护环境？,,看见垃圾要主动捡起来。,下课后快点跑回家。,苹果洗一洗更好吃。,教室里的灯真明亮。,A,主动捡垃圾是在提醒大家爱护环境。,2
语文,三年级,上册,估算判断,词义判断,“我估计十分钟就能到”里的“估计”最接近哪个词？,,必须,大概,马上,已经,B,“估计”表示大概、推测。,2
数学,三年级,上册,图文转换,图表分析,图书借阅表显示：童话书32本，科普书28本，作文书35本。借出最多的是哪一类？,,童话书,科普书,作文书,一样多,C,35本最多，所以借出最多的是作文书。,2
数学,三年级,上册,图文转换,图表分析,水果店销售记录：苹果45千克，香蕉38千克，橙子41千克。卖得最多的是哪一种？,,香蕉,橙子,一样多,苹果,D,45千克最多，所以苹果卖得最多。,2
数学,三年级,上册,图文转换,图表分析,兴趣小组人数统计：书法组18人，篮球组24人，合唱组21人。人数最少的是哪个组？,,书法组,篮球组,合唱组,一样少,A,18人最少，所以是书法组。,2
数学,三年级,上册,图文转换,图表分析,三辆车运货数量分别是56箱、49箱、62箱。运得最多的是哪辆车？,,56箱那辆,62箱那辆,49箱那辆,三辆一样多,B,62箱最多。,2
数学,三年级,上册,图文转换,图表分析,三种文具价格表：钢笔8元，笔记本6元，文件夹9元。最便宜的是哪一种？,,钢笔,文件夹,笔记本,一样便宜,C,6元最低，所以笔记本最便宜。,2
数学,三年级,上册,图文转换,图表分析,跳绳成绩表：小东86下，小林92下，小雨88下。谁跳得最多？,,小东,小雨,三人一样多,小林,D,92下最多，所以是小林。,2
数学,三年级,上册,图文转换,图表分析,植物高度记录：向日葵95厘米，玉米87厘米，辣椒79厘米。最高的是哪一种？,,向日葵,玉米,辣椒,一样高,A,95厘米最高。,2
数学,三年级,上册,图文转换,图表分析,班级节水记录：第一周36桶，第二周42桶，第三周39桶。哪一周节水最多？,,第一周,第二周,第三周,一样多,B,42桶最多，所以是第二周。,2
数学,三年级,上册,图文转换,图表分析,阅览室座位统计：第一排12个，第二排10个，第三排14个。哪一排座位最多？,,第一排,第二排,第三排,一样多,C,14个最多，所以第三排座位最多。,2
数学,三年级,上册,图文转换,图表分析,三本书页数分别是126页、138页、119页。页数最少的是哪一本？,,126页那本,138页那本,三本一样多,119页那本,D,119页最少。,2
语文,三年级,上册,图文转换,图表阅读,课程表写着：第一节数学，第二节语文，第三节科学，第四节体育。第三节上什么课？,,科学,数学,语文,体育,A,课程表里第三节是科学。,2
语文,三年级,上册,图文转换,图表阅读,值日安排表：周一小乐倒垃圾，周二小文擦黑板，周三小军摆桌椅。周二谁负责擦黑板？,,小乐,小文,小军,老师,B,值日表上周二对应小文。,2
语文,三年级,上册,图文转换,图表阅读,节目单显示：第一个节目合唱，第二个节目舞蹈，第三个节目朗诵。舞蹈排在第几个？,,第一个,第三个,第二个,第四个,C,节目单里舞蹈排第二。,2
语文,三年级,上册,图文转换,图表阅读,作息表：8:00上课，9:40课间操，10:10阅读。10:10大家在做什么？,,上课,课间操,放学,阅读,D,作息表中10:10安排的是阅读。,2
语文,三年级,上册,图文转换,图表阅读,读书卡上写着：《昆虫记》，作者法布尔，推荐人小林。谁写了这本书？,,法布尔,小林,老师,昆虫,A,读书卡上作者一栏写的是法布尔。,2
语文,三年级,上册,图文转换,图表阅读,导览图说明：校门东边是操场，北边是图书馆，西边是食堂。图书馆在校门的哪一边？,,东边,北边,西边,南边,B,导览图里写着图书馆在北边。,2
语文,三年级,上册,图文转换,图表阅读,天气预报牌：周一晴，周二阴，周三小雨。哪一天适合晒被子？,,周二,周三,周一,三天都不适合,C,晴天最适合晒被子。,2
语文,三年级,上册,图文转换,图表阅读,通知栏写着：科技节开幕式4月18日上午9点在礼堂举行。开幕式在哪里举行？,,操场,图书馆,教室,礼堂,D,通知栏里明确写的是礼堂。,2
语文,三年级,上册,图文转换,图表阅读,失物招领上写着：捡到一顶蓝色帽子，请到门卫室领取。想找帽子应该去哪里？,,门卫室,广播站,图书角,食堂,A,失物招领上写着到门卫室领取。,2
语文,三年级,上册,图文转换,图表阅读,借书登记表：小红借《海底两万里》，小刚借《十万个为什么》，小雨借《安徒生童话》。谁借了《海底两万里》？,,小刚,小红,小雨,老师,B,登记表中《海底两万里》对应小红。,2
数学,三年级,上册,应用连推,两步应用,一箱有24瓶矿泉水，运来3箱后又拿走15瓶，还剩多少瓶？,,56,58,57,59,C,先算3箱共有72瓶，再减15瓶，还剩57瓶。,3
数学,三年级,上册,应用连推,两步应用,学校买来5包彩纸，每包18张，做手工用去27张，还剩多少张？,,62,64,65,63,D,先算5包共有90张，再减27张，剩63张。,3
数学,三年级,上册,应用连推,两步应用,一辆客车上午运了46人，下午比上午多运18人，这一天一共运了多少人？,,110,109,111,112,A,下午运64人，再和上午46人相加，得110人。,3
数学,三年级,上册,应用连推,两步应用,食堂买来72个鸡蛋，平均装进8个盒子，每盒又拿走2个，现在每盒还有几个？,,6,7,8,9,B,72÷8=9，每盒拿走2个后还剩7个。,3
数学,三年级,上册,应用连推,两步应用,一本相册每页贴6张照片，贴满8页后又多贴了5张，一共贴了多少张照片？,,52,54,53,55,C,8页共48张，再加5张，得到53张。,3
数学,三年级,上册,应用连推,两步应用,操场跑道一圈是250米，小林跑了4圈后又走了120米，一共运动了多少米？,,1119,1121,1122,1120,D,4圈是1000米，再加120米，共1120米。,3
数学,三年级,上册,应用连推,两步应用,书架上层有38本书，下层比上层多16本，两层一共有多少本？,,92,91,93,94,A,下层有54本，再加上层38本，共92本。,3
数学,三年级,上册,应用连推,两步应用,买3盒钢笔，每盒12支，又送给同学9支，还剩多少支？,,26,27,28,29,B,3盒共36支，送出9支后还剩27支。,3
数学,三年级,上册,应用连推,两步应用,果园里有9行苹果树，每行14棵，后来又补种了8棵，现在一共有多少棵？,,133,135,134,136,C,9×14=126，再加8棵，共134棵。,3
数学,三年级,上册,应用连推,两步应用,一根木条长96厘米，先剪下28厘米，又剪下34厘米，还剩多少厘米？,,33,35,36,34,D,一共剪下62厘米，用96减62，还剩34厘米。,3
语文,三年级,上册,应用连推,短文推理,小明先在图书馆借了一本书，回家后先写作业，再读了半小时，晚上把读书笔记写好。写读书笔记前他做了什么？,,读了半小时书,借书,写作业,去睡觉,A,按事情顺序，写笔记前先读了半小时书。,3
语文,三年级,上册,应用连推,通知理解,通知：周六8点在校门口集合去博物馆参观，要求穿校服、带水杯。集合以后大家要去哪里？,,图书馆,博物馆,体育馆,食堂,B,通知中写明集合后去博物馆参观。,3
语文,三年级,上册,应用连推,顺序理解,做实验时，先把种子放进杯子里，再倒入清水，最后贴上标签。倒入清水后下一步做什么？,,放种子,换杯子,贴上标签,拿回家,C,按步骤看，倒水后下一步是贴标签。,3
语文,三年级,上册,应用连推,阅读推理,小华整理房间，先叠被子，再擦书桌，然后把图书按大小摆好。擦完书桌后他做什么？,,叠被子,马上出门,去厨房洗碗,把图书按大小摆好,D,顺序中的下一步是摆好图书。,3
语文,三年级,上册,应用连推,句意理解,“风停了，湖面像镜子一样平静。” 这句话主要想说明什么？,,湖面非常平静,湖面很浑浊,湖里有很多鱼,天空开始下雪,A,把湖面比作镜子，是在写它很平静。,3
语文,三年级,上册,应用连推,阅读推理,小军先把演讲稿读熟，又请爸爸帮他修改，最后站在镜子前练习。站在镜子前练习之前，他做了什么？,,写演讲稿,请爸爸帮他修改,去操场跑步,上台演讲,B,练习前一步是请爸爸帮忙修改。,3
语文,三年级,上册,应用连推,通知理解,班级公告：周三带跳绳参加比赛，周四交手工作品，周五展示读书卡。周四要交什么？,,跳绳,读书卡,手工作品,作文,C,公告里周四对应的是交手工作品。,3
语文,三年级,上册,应用连推,阅读推理,小狗先把球踢到草地上，又追过去叼回来，最后把球放进篮子里。把球放进篮子前，小狗做了什么？,,把球踢上树,回家睡觉,去找主人,追过去叼回来,D,按顺序看，放进篮子前是叼回来。,3
语文,三年级,上册,应用连推,词语运用,下面哪句话最能表现“继续努力”的意思？,,虽然这次没成功，他还是认真练习。,作业写完就不再看了。,一下课就把书扔在桌上。,看到困难马上放弃了。,A,认真练习体现了继续努力。,3
语文,三年级,上册,应用连推,阅读推理,游园时，大家先在门口领地图，再去动物区参观，最后到草地集合拍照。集合拍照前去的是哪里？,,门口,动物区,教室,食堂,B,按活动顺序，集合拍照前在动物区参观。,3
数学,三年级,上册,限时稳答,乘法速算,12 × 4 = ?,,47,49,48,50,C,12乘4等于48。,3
数学,三年级,上册,限时稳答,除法速算,81 ÷ 9 = ?,,8,10,11,9,D,81除以9等于9。,3
数学,三年级,上册,限时稳答,加法速算,126 + 37 = ?,,163,162,164,165,A,126加37等于163。,3
数学,三年级,上册,限时稳答,减法速算,205 - 68 = ?,,136,137,138,139,B,205减68等于137。,3
数学,三年级,上册,限时稳答,乘法速算,14 × 6 = ?,,83,85,84,86,C,14乘6等于84。,3
数学,三年级,上册,限时稳答,除法速算,96 ÷ 8 = ?,,11,13,14,12,D,96除以8等于12。,3
数学,三年级,上册,限时稳答,周长计算,一个长方形长9厘米、宽4厘米，它的周长是多少厘米？,,26,25,27,28,A,周长是(9+4)×2=26厘米。,3
数学,三年级,上册,限时稳答,时间计算,从9:15到10:00，经过了多少分钟？,,44,45,46,47,B,9:15到10:00一共45分钟。,3
语文,三年级,上册,限时稳答,古诗积累,“两个黄鹂鸣翠柳”的下一句是什么？,,窗含西岭千秋雪,门泊东吴万里船,一行白鹭上青天,低头思故乡,C,这是《绝句》中的名句。,3
语文,三年级,上册,限时稳答,词语理解,“依依不舍”最能形容下面哪种心情？,,特别生气,非常害怕,一点也不在乎,舍不得离开,D,“依依不舍”表示留恋，不忍分开。,3
语文,三年级,上册,限时稳答,标点符号,“多么壮观的瀑布啊（ ）” 句末最合适填什么标点？,,感叹号,句号,问号,顿号,A,表示赞叹时常用感叹号。,3
语文,三年级,上册,限时稳答,句意理解,“他像小燕子一样轻快地跑过去。” 这句话主要想写他怎样？,,跑得很慢,跑得轻快,站着不动,说话很响,B,把他比作小燕子，是在写动作轻快。,3
语文,三年级,上册,限时稳答,近义词,“立刻”的近义词是哪一个？,,终于,一直,马上,偶尔,C,“立刻”和“马上”意思接近。,3
语文,三年级,上册,限时稳答,成语理解,“一丝不苟”最适合形容做事怎样？,,非常缓慢,十分热闹,有点害怕,认真仔细,D,“一丝不苟”表示做事认真细致。,3
语文,三年级,上册,限时稳答,句子排序,“先擦窗户，再拖地。” 按这句话做事，拖地前先要做什么？,,擦窗户,搬桌子,回家,洗衣服,A,句子里已经告诉我们先擦窗户。,3
语文,三年级,上册,限时稳答,词语运用,下面哪句话正确用了“忽然”？,,桌子忽然很整齐。,天忽然下起了大雨。,苹果忽然在地上跑。,铅笔忽然很香。,B,“忽然”表示事情一下子发生。,3
数学,三年级,上册,综合冲线,综合计算,一个书架有4层，每层放28本书，又新添了15本，一共放了多少本书？,,126,128,127,129,C,4层共有112本，再加15本，一共127本。,3
数学,三年级,上册,综合冲线,综合计算,工人叔叔上午运来135块砖，下午运来的比上午少27块，这一天一共运来多少块砖？,,242,244,245,243,D,下午运108块，135+108=243。,3
数学,三年级,上册,综合冲线,综合计算,把84颗糖平均装进7袋，每袋再放进3颗巧克力，每袋共有多少颗？,,15,14,16,17,A,84÷7=12，再加3，共15颗。,3
数学,三年级,上册,综合冲线,综合计算,一条跑道长300米，小乐跑了3圈后又跑了150米，一共跑了多少米？,,1049,1050,1051,1052,B,3圈是900米，再加150米，共1050米。,3
数学,三年级,上册,综合冲线,综合计算,一箱苹果有48个，卖出19个后，又补进25个，现在箱里有多少个？,,53,55,54,56,C,48-19+25=54。,3
数学,三年级,上册,综合冲线,综合计算,一根铁丝长120厘米，先做成一个边长18厘米的正方形，还剩多少厘米？,,47,49,50,48,D,正方形周长是18×4=72厘米，120-72=48厘米。,3
数学,三年级,上册,综合冲线,综合计算,学校买来9盒彩笔，每盒16支，分给6个班后还剩12支，每个班分到多少支？,,22,21,23,24,A,共144支，分掉132支，132÷6=22。,3
数学,三年级,上册,综合冲线,综合计算,图书馆第一天借出58本书，第二天借出的比第一天多16本，两天一共借出多少本？,,131,132,133,134,B,第二天借74本，两天共132本。,3
数学,三年级,上册,综合冲线,综合计算,买3个足球，每个78元，付给售货员250元，应找回多少元？,,15,17,16,18,C,3个足球共234元，250-234=16元。,3
数学,三年级,上册,综合冲线,时间推算,一场演出9:40开始，进行了1小时25分钟，结束时是几时几分？,,10:45,11:15,12:05,11:05,D,9:40加1小时25分钟，结束时间是11:05。,3
语文,三年级,上册,综合冲线,通知理解,通知：4月20日上午8:30在操场举行运动会开幕式，请各班8:15前整队完成。最晚什么时候要整好队？,,8:15前,8:30,8:00,9:15,A,通知里写明要在8:15前整队完成。,3
语文,三年级,上册,综合冲线,短文推理,小兰先把参观博物馆的内容记在本子上，回家后整理成小报，第二天又在班里介绍。她在班里介绍前做了什么？,,参观博物馆,整理成小报,回家睡觉,去公园玩,B,按顺序，介绍前先整理成小报。,3
语文,三年级,上册,综合冲线,修辞理解,“阳光像金子一样洒满大地。” 这句话把什么比作金子？,,大地,花朵,阳光,云彩,C,句子里把阳光比作金子。,3
语文,三年级,上册,综合冲线,句意概括,“他读书时一会儿皱眉，一会儿点头。” 这句话最能说明什么？,,他在打瞌睡,他不喜欢读书,他想马上回家,他读得很投入,D,皱眉和点头说明他边读边思考，很投入。,3
语文,三年级,上册,综合冲线,顺序理解,班队活动先分组讨论，再写发言提纲，最后上台交流。上台交流前要先做什么？,,写发言提纲,回家休息,打扫卫生,先去操场,A,活动顺序里，上台前一步是写提纲。,3
语文,三年级,上册,综合冲线,词语理解,“喜出望外”最适合形容下面哪种心情？,,特别生气,非常高兴又有些意外,十分难过,完全害怕,B,“喜出望外”表示遇到意外的喜事，非常高兴。,3
语文,三年级,上册,综合冲线,阅读推理,小军先把种植观察记录下来，又给植物浇水，最后把花盆搬到阳光下。浇水后他做什么？,,记录观察,去操场玩,把花盆搬到阳光下,换一个花盆,C,按顺序，浇水后的下一步是搬到阳光下。,3
